policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,overthreshold_shard_epoch,suite
risk_aware_exchange,120011,0.375,7.541666666666667,0.017554012345679,0.2136702674897119,0.0142902222938144,0.5833333333333334,3.9166666666666665,51.22118808333317,0.0694444444444444,heldout
risk_aware_exchange,120012,0.2083333333333333,6.75,0.0192258230452674,0.2153420781893004,0.0069526769400909,0.8333333333333334,1.6666666666666667,53.06595529166932,0.0231481481481481,heldout
risk_aware_exchange,120013,0.2083333333333333,7.0,0.0151748971193415,0.2157278806584362,0.0090534082282324,0.6666666666666666,2.4166666666666665,52.71914350000273,0.0231481481481481,heldout
risk_aware_exchange,120014,0.0,7.0,0.0148533950617283,0.2152134773662551,0.008197763345218,0.5833333333333334,2.0,52.7243270833336,0.0,heldout
risk_aware_exchange,120015,1.0,12.333333333333334,0.0992798353909465,0.1792052469135802,0.0077933755409113,1.0,0.25,53.139369125003576,0.1111111111111111,heldout
risk_aware_exchange,120016,0.0,6.791666666666667,0.0140817901234567,0.2235082304526749,0.0080320693246088,0.7083333333333334,2.0,52.005704125000086,0.0,heldout
risk_aware_exchange,120017,0.4166666666666667,7.833333333333333,0.0238554526748971,0.2091049382716049,0.0166855515287355,0.8333333333333334,3.5,52.56924991666997,0.0509259259259259,heldout
risk_aware_exchange,120018,0.3333333333333333,7.583333333333333,0.019997427983539,0.2186213991769547,0.0079625486276561,0.6666666666666666,3.8333333333333335,52.325368458330246,0.0416666666666666,heldout
risk_aware_exchange,120019,0.4166666666666667,7.541666666666667,0.0164609053497942,0.2191358024691358,0.0150984961055639,0.75,4.333333333333333,52.19620329166474,0.0509259259259259,heldout
risk_aware_exchange,120020,0.0,6.291666666666667,0.0123456790123456,0.2212577160493827,0.0061699035049315,0.875,1.6666666666666667,52.6877113749992,0.0,heldout
risk_aware_exchange,120021,0.375,7.5,0.015625,0.2177211934156378,0.0107074480131796,0.6666666666666666,3.5,52.23625879166486,0.0416666666666666,heldout
risk_aware_exchange,120022,0.0833333333333333,6.791666666666667,0.0134387860082304,0.2157921810699588,0.0046397303069151,0.7916666666666666,1.75,51.99509433333205,0.0092592592592592,heldout
risk_aware_exchange,120023,0.2083333333333333,7.25,0.014917695473251,0.2179783950617284,0.0171749701161143,0.7916666666666666,3.083333333333333,53.20503504166988,0.0231481481481481,heldout
risk_triggered_random_partner,120000,0.1666666666666666,7.25,0.0171039094650205,0.2167566872427983,0.0133787244503524,0.9166666666666666,3.0,51.98607258333254,0.0185185185185185,heldout
risk_triggered_random_partner,120001,0.2916666666666667,7.291666666666667,0.0159465020576131,0.2170781893004115,0.0104942836282353,0.7083333333333334,3.1666666666666665,51.67390216666767,0.0324074074074074,heldout
risk_triggered_random_partner,120002,0.0833333333333333,6.833333333333333,0.0154963991769547,0.2147633744855967,0.0085734118511959,0.625,2.0,51.530035375001525,0.0092592592592592,heldout
risk_triggered_random_partner,120003,0.6666666666666666,8.125,0.0225051440329218,0.2193930041152263,0.0234876862286738,0.7916666666666666,5.5,52.65187358333338,0.074074074074074,heldout
risk_triggered_random_partner,120004,0.4166666666666667,7.541666666666667,0.0181970164609053,0.21875,0.012550292105027,0.875,4.25,56.39063795833306,0.0462962962962962,heldout
risk_triggered_random_partner,120005,0.0,6.666666666666667,0.0133101851851851,0.2126414609053497,0.0116720497322046,0.625,2.583333333333333,54.94562674999889,0.0,heldout
risk_triggered_random_partner,120006,0.3333333333333333,7.25,0.01684670781893,0.2109053497942387,0.01591128338773,0.75,3.4166666666666665,53.69642308333411,0.037037037037037,heldout
risk_triggered_random_partner,120007,0.125,7.166666666666667,0.0164609053497942,0.2158564814814814,0.0138677590235579,0.6666666666666666,3.4166666666666665,54.142662916662594,0.0138888888888888,heldout
risk_triggered_random_partner,120008,0.375,7.791666666666667,0.0253343621399176,0.2251157407407407,0.0108200344227472,0.6666666666666666,3.75,51.58525208333131,0.0416666666666666,heldout
