policy,seed,any_failure_rate,mean_max_active,mean_stall_rate,mean_recovery_rate,mean_brier,top1_hit_rate,mean_moved_nodes,mean_controller_ms,malicious_fraction
no_reconfig,70320,1.0,10.0,0.0859053497942386,0.2777134773662551,0.0617328677066784,1.0,0.0,0.8554666249835918,0.32
no_reconfig,70321,1.0,9.0,0.0757458847736625,0.2952031893004115,0.0550649077263945,1.0,0.0,0.8748120833293646,0.32
no_reconfig,70322,1.0,12.0,0.131494341563786,0.2536008230452675,0.0588177084321447,1.0,0.0,0.9300602916558396,0.32
no_reconfig,70323,1.0,10.0,0.1200488683127572,0.2735982510288066,0.0331811378166003,1.0,0.0,0.8774007499804762,0.32
risk_aware_exchange,70320,1.0,9.458333333333334,0.0621141975308641,0.2684542181069959,0.0827109322099255,1.0,10.583333333333334,52.61120691666103,0.32
risk_aware_exchange,70321,1.0,9.875,0.0850694444444444,0.2813143004115226,0.0400865049650727,1.0,2.9166666666666665,52.62649633329867,0.32
risk_aware_exchange,70322,1.0,10.625,0.0992798353909465,0.2719907407407407,0.0434334072630297,0.9583333333333334,7.166666666666667,52.90257650001232,0.32
risk_aware_exchange,70323,1.0,10.0,0.1200488683127572,0.2735982510288066,0.0331811378166003,1.0,0.0,53.373745083310574,0.32
no_reconfig,70204,0.0,6.0,0.0086162551440329,0.1840920781893004,0.0020555275408298,0.875,0.0,25.32707729170625,0.2
no_reconfig,70205,0.0,7.0,0.0102237654320987,0.186085390946502,0.0104619591649356,0.7916666666666666,0.0,0.881608750006535,0.2
no_reconfig,70206,1.0,8.0,0.0162037037037037,0.1893647119341563,0.0246532078243002,0.875,0.0,0.8573858333325765,0.2
no_reconfig,70207,0.0,6.0,0.0095807613168724,0.1862139917695473,0.0017834495608227,0.9166666666666666,0.0,0.8490163333097674,0.2
risk_aware_exchange,70204,0.0,6.0,0.0088734567901234,0.1878858024691358,0.0007789727026969,0.7916666666666666,1.8333333333333333,55.39711666666373,0.2
risk_aware_exchange,70205,0.0,6.125,0.0075231481481481,0.1866640946502057,0.0013001927006067,0.7083333333333334,3.583333333333333,55.24676445836008,0.2
